"";"means";"V2"
"1";NA;2004-05-23
"2";NA;2004-06-06
"3";NA;2004-06-20
"4";NA;2004-07-04
"5";NA;2004-07-18
"6";NA;2004-08-01
"7";NA;2004-08-15
"8";NA;2004-08-29
"9";NA;2004-09-12
"10";NA;2004-09-26
"11";NA;2004-10-10
"12";NA;2004-10-24
"13";NA;2004-11-07
"14";NA;2004-11-21
"15";NA;2004-12-05
"16";NA;2004-12-19
"17";NA;2005-01-02
"18";NA;2005-01-16
"19";NA;2005-01-30
"20";NA;2005-02-13
"21";NA;2005-02-27
"22";NA;2005-03-13
"23";NA;2005-03-27
"24";NA;2005-04-10
"25";NA;2005-04-24
"26";NA;2005-05-08
"27";NA;2005-05-22
"28";NA;2005-06-05
"29";NA;2005-06-19
"30";NA;2005-07-03
"31";NA;2005-07-17
"32";NA;2005-07-31
"33";NA;2005-08-14
"34";NA;2005-08-28
"35";NA;2005-09-11
"36";NA;2005-09-25
"37";NA;2005-10-09
"38";NA;2005-10-23
"39";NA;2005-11-06
"40";NA;2005-11-20
"41";NA;2005-12-04
"42";NA;2005-12-18
"43";NA;2006-01-01
"44";NA;2006-01-15
"45";NA;2006-01-29
"46";NA;2006-02-12
"47";NA;2006-02-26
"48";NA;2006-03-12
"49";NA;2006-03-26
"50";NA;2006-04-09
"51";NA;2006-04-23
"52";NA;2006-05-07
"53";NA;2006-05-21
"54";NA;2006-06-04
"55";NA;2006-06-18
"56";NA;2006-07-02
"57";NA;2006-07-16
"58";NA;2006-07-30
"59";NA;2006-08-13
"60";NA;2006-08-27
"61";NA;2006-09-10
"62";NA;2006-09-24
"63";NA;2006-10-08
"64";NA;2006-10-22
"65";NA;2006-11-05
"66";NA;2006-11-19
"67";NA;2006-12-03
"68";NA;2006-12-17
"69";NA;2006-12-31
"70";NA;2007-01-14
"71";NA;2007-01-28
"72";NA;2007-02-11
"73";NA;2007-02-25
"74";NA;2007-03-11
"75";NA;2007-03-25
"76";NA;2007-04-08
"77";NA;2007-04-22
"78";NA;2007-05-06
"79";NA;2007-05-20
"80";NA;2007-06-03
"81";NA;2007-06-17
"82";NA;2007-07-01
"83";NA;2007-07-15
"84";NA;2007-07-29
"85";NA;2007-08-12
"86";NA;2007-08-26
"87";NA;2007-09-09
"88";NA;2007-09-23
"89";NA;2007-10-07
"90";NA;2007-10-21
"91";NA;2007-11-04
"92";NA;2007-11-18
"93";NA;2007-12-02
"94";NA;2007-12-16
"95";NA;2007-12-30
"96";NA;2008-01-13
"97";NA;2008-01-27
"98";NA;2008-02-10
"99";NA;2008-02-24
"100";NA;2008-03-09
"101";NA;2008-03-23
"102";NA;2008-04-06
"103";NA;2008-04-20
"104";NA;2008-05-04
"105";NA;2008-05-18
"106";NA;2008-06-01
"107";NA;2008-06-15
"108";NA;2008-06-29
"109";NA;2008-07-13
"110";NA;2008-07-27
"111";NA;2008-08-10
"112";NA;2008-08-24
"113";NA;2008-09-07
"114";NA;2008-09-21
"115";NA;2008-10-05
"116";NA;2008-10-19
"117";NA;2008-11-02
"118";NA;2008-11-16
"119";NA;2008-11-30
"120";NA;2008-12-14
"121";NA;2008-12-28
"122";NA;2009-01-11
"123";NA;2009-01-25
"124";NA;2009-02-08
"125";NA;2009-02-22
"126";NA;2009-03-08
"127";NA;2009-03-22
"128";NA;2009-04-05
"129";NA;2009-04-19
"130";NA;2009-05-03
"131";NA;2009-05-17
"132";NA;2009-05-31
"133";NA;2009-06-14
"134";NA;2009-06-28
"135";NA;2009-07-12
"136";NA;2009-07-26
"137";NA;2009-08-09
"138";NA;2009-08-23
"139";NA;2009-09-06
"140";NA;2009-09-20
"141";NA;2009-10-04
"142";NA;2009-10-18
"143";NA;2009-11-01
"144";NA;2009-11-15
"145";NA;2009-11-29
"146";NA;2009-12-13
"147";NA;2009-12-27
"148";NA;2010-01-10
"149";NA;2010-01-24
"150";NA;2010-02-07
"151";NA;2010-02-21
"152";NA;2010-03-07
"153";NA;2010-03-21
"154";NA;2010-04-04
"155";NA;2010-04-18
"156";NA;2010-05-02
"157";NA;2010-05-16
"158";NA;2010-05-30
"159";NA;2010-06-13
"160";NA;2010-06-27
"161";NA;2010-07-11
"162";NA;2010-07-25
"163";NA;2010-08-08
"164";NA;2010-08-22
"165";NA;2010-09-05
"166";NA;2010-09-19
"167";NA;2010-10-03
"168";NA;2010-10-17
"169";NA;2010-10-31
"170";NA;2010-11-14
"171";NA;2010-11-28
"172";NA;2010-12-12
"173";NA;2010-12-26
"174";NA;2011-01-09
"175";NA;2011-01-23
"176";NA;2011-02-06
"177";NA;2011-02-20
"178";NA;2011-03-06
"179";NA;2011-03-20
"180";NA;2011-04-03
"181";NA;2011-04-17
"182";NA;2011-05-01
"183";NA;2011-05-15
"184";NA;2011-05-29
"185";NA;2011-06-12
"186";NA;2011-06-26
"187";NA;2011-07-10
"188";NA;2011-07-24
"189";NA;2011-08-07
"190";NA;2011-08-21
"191";NA;2011-09-04
"192";NA;2011-09-18
"193";NA;2011-10-02
"194";NA;2011-10-16
"195";NA;2011-10-30
"196";NA;2011-11-13
"197";NA;2011-11-27
"198";NA;2011-12-11
"199";NA;2011-12-25
"200";NA;2012-01-08
"201";NA;2012-01-22
"202";NA;2012-02-05
"203";NA;2012-02-19
"204";NA;2012-03-04
"205";NA;2012-03-18
"206";NA;2012-04-01
"207";NA;2012-04-15
"208";0;2012-04-29
"209";0;2012-05-13
"210";0;2012-05-27
"211";0;2012-06-10
"212";0;2012-06-24
"213";NA;2012-07-08
"214";0;2012-07-22
"215";0;2012-08-05
"216";0;2012-08-19
"217";0;2012-09-02
"218";0;2012-09-16
"219";1,94174757281553;2012-09-30
"220";NA;2012-10-14
"221";NA;2012-10-28
"222";NA;2012-11-11
"223";NA;2012-11-25
"224";NA;2012-12-09
"225";NA;2012-12-23
"226";NA;2013-01-06
"227";NA;2013-01-20
"228";NA;2013-02-03
"229";NA;2013-02-17
"230";NA;2013-03-03
"231";NA;2013-03-17
"232";NA;2013-03-31
"233";0;2013-04-14
"234";0;2013-04-28
"235";0;2013-05-12
"236";0;2013-05-26
"237";0;2013-06-09
"238";0;2013-06-23
"239";0;2013-07-07
"240";0;2013-07-21
"241";NA;2013-08-04
"242";NA;2013-08-18
"243";0;2013-09-01
"244";0;2013-09-15
"245";NA;2013-09-29
"246";NA;2013-10-13
"247";NA;2013-10-27
"248";0;2013-11-10
"249";NA;2013-11-24
"250";NA;2013-12-08
"251";NA;2013-12-22
"252";NA;2014-01-05
"253";0;2014-01-19
"254";NA;2014-02-02
"255";NA;2014-02-16
"256";NA;2014-03-02
"257";NA;2014-03-16
"258";0;2014-03-30
"259";0;2014-04-13
"260";1;2014-04-27
"261";0;2014-05-11
"262";0,925925925925926;2014-05-25
"263";0;2014-06-08
"264";NA;2014-06-22
"265";0;2014-07-06
"266";0;2014-07-20
"267";NA;2014-08-03
"268";1;2014-08-17
"269";0;2014-08-31
"270";0;2014-09-14
"271";0,308641975308642;2014-09-28
"272";NA;2014-10-12
"273";0,245098039215686;2014-10-26
"274";0;2014-11-09
"275";0;2014-11-23
"276";0;2014-12-07
"277";NA;2014-12-21
"278";NA;2015-01-04
"279";0;2015-01-18
"280";NA;2015-02-01
"281";NA;2015-02-15
"282";NA;2015-03-01
"283";NA;2015-03-15
"284";0;2015-03-29
"285";5,35714285714286;2015-04-12
"286";2,45098039215686;2015-04-26
"287";2,20249221183801;2015-05-10
"288";0;2015-05-24
"289";0;2015-06-07
"290";0;2015-06-21
"291";1,53061224489796;2015-07-05
"292";0,490196078431373;2015-07-19
"293";NA;2015-08-02
"294";0,282485875706215;2015-08-16
"295";0;2015-08-30
"296";NA;2015-09-13
"297";0;2015-09-27
"298";0;2015-10-11
"299";0;2015-10-25
"300";NA;2015-11-08
"301";0;2015-11-22
"302";0;2015-12-06
"303";NA;2015-12-20
"304";NA;2016-01-03
"305";NA;2016-01-17
"306";NA;2016-01-31
"307";NA;2016-02-14
"308";NA;2016-02-28
"309";NA;2016-03-13
"310";5;2016-03-27
"311";2,85714285714286;2016-04-10
"312";3,65093805834853;2016-04-24
"313";1,49019607843137;2016-05-08
"314";2,08225108225108;2016-05-22
"315";0;2016-06-05
"316";1;2016-06-19
"317";1,94174757281553;2016-07-03
"318";0,970873786407767;2016-07-17
"319";NA;2016-07-31
"320";2,10526315789474;2016-08-14
"321";NA;2016-08-28
"322";NA;2016-09-11
"323";7,16538046635134;2016-09-25
"324";0;2016-10-09
"325";NA;2016-10-23
"326";7;2016-11-06
"327";NA;2016-11-20
"328";NA;2016-12-04
"329";NA;2016-12-18
"330";NA;2017-01-01
"331";NA;2017-01-15
"332";NA;2017-01-29
"333";NA;2017-02-12
"334";NA;2017-02-26
"335";NA;2017-03-12
"336";NA;2017-03-26
"337";0;2017-04-09
"338";NA;2017-04-23
"339";36;2017-05-07
"340";0;2017-05-21
"341";NA;2017-06-04
"342";NA;2017-06-18
"343";NA;2017-07-02
"344";2,21238938053097;2017-07-16
"345";3,80952380952381;2017-07-30
"346";NA;2017-08-13
"347";NA;2017-08-27
"348";NA;2017-09-10
"349";10;2017-09-24
"350";8,35185185185185;2017-10-08
"351";NA;2017-10-22
"352";NA;2017-11-05
"353";NA;2017-11-19
"354";NA;2017-12-03
"355";NA;2017-12-17
"356";NA;2017-12-31
"357";NA;2018-01-14
"358";NA;2018-01-28
"359";NA;2018-02-11
"360";NA;2018-02-25
"361";NA;2018-03-11
"362";NA;2018-03-25
"363";NA;2018-04-08
"364";18;2018-04-22
"365";40,9253663754402;2018-05-06
"366";2,25563909774436;2018-05-20
"367";NA;2018-06-03
"368";0,854700854700855;2018-06-17
"369";NA;2018-07-01
"370";0,833333333333333;2018-07-15
"371";NA;2018-07-29
"372";18,5185185185185;2018-08-12
"373";NA;2018-08-26
"374";5,8252427184466;2018-09-09
"375";12;2018-09-23
"376";6,83760683760684;2018-10-07
"377";4;2018-10-21
"378";NA;2018-11-04
"379";NA;2018-11-18
"380";NA;2018-12-02
"381";NA;2018-12-16
"382";NA;2018-12-30
"383";NA;2019-01-13
"384";NA;2019-01-27
"385";NA;2019-02-10
"386";NA;2019-02-24
"387";NA;2019-03-10
"388";NA;2019-03-24
"389";NA;2019-04-07
"390";NA;2019-04-21
"391";NA;2019-05-05
"392";5,88235294117647;2019-05-19
"393";7,21649484536082;2019-06-02
"394";0;2019-06-16
"395";1,11111111111111;2019-06-30
"396";5,21739130434783;2019-07-14
"397";NA;2019-07-28
"398";NA;2019-08-11
"399";NA;2019-08-25
"400";8,24742268041237;2019-09-08
"401";2,10526315789474;2019-09-22
"402";NA;2019-10-06
"403";NA;2019-10-20
"404";NA;2019-11-03
"405";NA;2019-11-17
"406";NA;2019-12-01
"407";NA;2019-12-15
"408";NA;2019-12-29
"409";NA;2020-01-12
"410";NA;2020-01-26
"411";NA;2020-02-09
"412";NA;2020-02-23
"413";NA;2020-03-08
"414";NA;2020-03-22
"415";NA;2020-04-05
"416";NA;2020-04-19
"417";NA;2020-05-03
"418";NA;2020-05-17
"419";NA;2020-05-31
"420";NA;2020-06-14
"421";3,44827586206897;2020-06-28
"422";NA;2020-07-12
"423";NA;2020-07-26
"424";NA;2020-08-09
"425";NA;2020-08-23
"426";NA;2020-09-06
"427";0,8;2020-09-20
"428";NA;2020-10-04
"429";NA;2020-10-18
"430";NA;2020-11-01
"431";NA;2020-11-15
"432";NA;2020-11-29
"433";NA;2020-12-13
"434";NA;2020-12-27
"435";NA;2021-01-10
"436";NA;2021-01-24
"437";NA;2021-02-07
"438";0;2021-02-21
"439";NA;2021-03-07
"440";3,98039215686275;2021-03-21
"441";1,70940170940171;2021-04-04
"442";NA;2021-04-18
"443";NA;2021-05-02
"444";NA;2021-05-16
"445";NA;2021-05-30
"446";0,970873786407767;2021-06-13
"447";NA;2021-06-27
"448";0;2021-07-11
"449";NA;2021-07-25
"450";NA;2021-08-08
"451";NA;2021-08-22
"452";NA;2021-09-05
"453";NA;2021-09-19
"454";7;2021-10-03
"455";NA;2021-10-17
"456";NA;2021-10-31
"457";NA;2021-11-14
"458";NA;2021-11-28
"459";NA;2021-12-12
"460";NA;2021-12-26
"461";NA;2022-01-09
"462";NA;2022-01-23
"463";NA;2022-02-06
"464";NA;2022-02-20
"465";NA;2022-03-06
"466";0;2022-03-20
"467";NA;2022-04-03
"468";NA;2022-04-17
"469";13;2022-05-01
"470";NA;2022-05-15
"471";NA;2022-05-29
"472";0;2022-06-12
"473";0;2022-06-26
"474";NA;2022-07-10
"475";0;2022-07-24
"476";NA;2022-08-07
"477";NA;2022-08-21
"478";NA;2022-09-04
"479";NA;2022-09-18
"480";2,67857142857143;2022-10-02
"481";0,892857142857143;2022-10-16
"482";NA;2022-10-30
"483";NA;2022-11-13
"484";NA;2022-11-27
"485";NA;2022-12-11
"486";NA;2022-12-25
"487";NA;2023-01-08
"488";NA;2023-01-22
"489";NA;2023-02-05
"490";NA;2023-02-19
"491";NA;2023-03-05
"492";0;2023-03-19
"493";NA;2023-04-02
"494";0,884955752212389;2023-04-16
"495";0;2023-04-30
"496";4,85436893203883;2023-05-14
"497";NA;2023-05-28
"498";0;2023-06-11
"499";1;2023-06-25
"500";0;2023-07-09
"501";NA;2023-07-23
"502";0,970873786407767;2023-08-06
"503";NA;2023-08-20
"504";NA;2023-09-03
"505";0;2023-09-17
"506";2;2023-10-01
"507";NA;2023-10-15
"508";NA;2023-10-29
"509";NA;2023-11-12
"510";NA;2023-11-26
"511";NA;2023-12-10
"512";NA;2023-12-24
"513";NA;2024-01-07
"514";NA;2024-01-21
"515";NA;2024-02-04
"516";NA;2024-02-18
"517";NA;2024-03-03
"518";NA;2024-03-17
"519";NA;2024-03-31
"520";NA;2024-04-14
"521";NA;2024-04-28
"522";NA;2024-05-12
"523";NA;2024-05-26
"524";NA;2024-06-09
"525";NA;2024-06-23
"526";NA;2024-07-07
"527";NA;2024-07-21
"528";NA;2024-08-04
"529";NA;2024-08-18
